brw_ord_no,pkg_amt,loan_amt,dep_prov_no,dep_city_no,pkg_typ,in_come,usr_job,schooling,marital_sta,gender,age,target
50620220909123820994334327,139,1200,22,817,01,003,021,005,1,男,45,good
50620220927143439055459415,128,1240,17,722,01,001,007,005,1,女,58,good
50620220928121007057271476,99,580,12,554,01,007,006,006,1,男,50,good
50620220929095837058788700,208,1999,09,210,01,003,,003,1,男,54,good
50620220905121358968897607,149,3030,22,830,01,003,003,004,1,男,40,good
50620220911133342002105287,199,1209,31,230,01,003,003,006,1,女,51,good
50620220904092024963441254,0,950,22,834,01,002,001,006,1,男,51,good
50620220922183501041912561,64,1300,22,280,01,003,,006,1,男,51,good
50620220919100359031226893,0,950,22,839,01,003,006,006,1,女,54,good
50620220926105458052407804,0,750,22,825,01,003,007,003,1,女,53,good
50620220920135539035605714,228,1326,09,210,01,001,,006,1,男,51,good
50620220929192246059414312,0,1460,22,280,01,003,003,003,1,女,31,good
50620220912195933006704854,0,1300,22,281,01,003,001,003,0,男,27,good
50620220905164051969105570,0,1200,22,829,01,002,001,005,1,男,57,good
50620220925162534050446908,0,750,22,834,01,002,001,006,1,女,34,good
50620220901091534954642053,128,740,17,713,01,004,006,003,1,男,40,good
50620220908161252990328885,269,1600,31,230,01,002,003,004,1,男,46,good
50620220910100230997151351,168,1630,17,716,01,003,014,003,1,男,48,good
50620220929113844059070988,239,1240,27,930,01,002,,004,1,男,44,good
50620220925172127050486077,0,750,22,833,01,003,021,006,1,男,57,good
50620220904152207966228722,128,741,09,210,01,001,001,001,1,男,44,good
50620220916110541019277245,0,1660,22,840,01,003,008,004,1,女,37,good
50620220926104907052404729,98,950,17,722,01,002,001,006,1,女,49,good
50620220922125937041661644,0,1660,22,818,01,007,003,003,1,男,29,good
50620220902144348957303406,0,1200,22,830,01,002,021,006,1,男,53,good
50620220901162019955185874,0,750,22,839,01,003,015,004,1,男,54,good
50620220911182249002356583,129,1080,12,557,01,004,001,005,1,女,33,good
50620220922104401041309485,79,1600,22,816,01,003,,005,1,男,55,good
50620220908151836990293135,269,1600,31,230,01,004,015,003,1,男,60,good
50620220911103006001463042,99,2010,22,812,01,002,008,005,1,女,51,good
50620220924101858046950978,236,2070,22,827,01,003,012,004,1,男,36,good
50620220913131852009695212,118,1092,09,210,01,002,003,004,1,男,50,good
